municipio;acoes coletivas / individuais em saude;vigilancia em saude;coleta de material;diagnostico em laboratorio clinico;diagnostico por anatomia patologica e citopatologia;diagnostico por radiologia;diagnostico por ultrasonografia;diagnostico por tomografia;diagnostico por ressonancia magnetica;diagnostico por medicina nuclear in vivo;diagnostico por endoscopia;diagnostico por radiologia intervencionista;metodos diagnosticos em especialidades;diagnostico e procedimentos especiais em hemoterapia;diagnostico em vigilancia epidemiologica e ambiental;diagnostico por teste rapido;consultas / atendimentos / acompanhamentos;fisioterapia;tratamentos clinicos (outras especialidades);tratamento em oncologia;tratamento em nefrologia;hemoterapia;tratamentos odontologicos;terapias especializadas;parto e nascimento;pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa;cirurgia do sistema nervoso central e periferico;cirurgia das vias aereas superiores, da face, da cabeca e do pescoco;cirurgia do aparelho da visao;cirurgia do aparelho circulatorio;cirurgia do aparelho digestivo, orgaos anexos e parede abdominal;cirurgia do sistema osteomuscular;cirurgia do aparelho geniturinario;cirurgia de mama;cirurgia obstetrica;cirurgia toracica;cirurgia reparadora;bucomaxilofacial;outras cirurgias;anestesiologia;cirurgia em nefrologia;coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante;acoes relacionadas a doacao de orgaos e tecidos para transplante;processamento de tecidos para transplante;transplante de orgaos, tecidos e celulas;acompanhamento e intercorrencias no pre e pos-transplante;componente especializado da assitencia farmaceutica;orteses, proteses e materiais especiais nao relacionados ao ato cirurgico;orteses, proteses e materiais especiais relacionados ao ato cirurgico;acoes relacionadas ao estabelecimento;autorizacao / regulacao;total
NEVES PAULISTA;1309.0;41.0;53.0;1183.0;;9.0;;;;;;;36.0;;;46.0;4696.0;365.0;;;;;430.0;;;1.0;;;;;;;;;;;;39.0;;;;;;;;;;10.0;;;1360;9578
NHANDEARA;149.0;38.0;1263.0;;;3.0;86.0;;;;;;21.0;;;17.0;631.0;242.0;;;;;219.0;;;;;2.0;;;;;;;;;;39.0;;;;;;;;;;;;;643;3353
NIPO�;;1117.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1117
NOVA ALIAN�A;757.0;53.0;730.0;26.0;;6.0;100.0;;;;;;125.0;;;122.0;4292.0;609.0;;;;;89.0;9.0;;19.0;;19.0;;;;;;;;;;18.0;;;;;;;;;;28.0;;;129;7131
NOVA CAMPINA;186651.0;45.0;368.0;1126.0;;;20.0;;;;;;;;;1253.0;5181.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;194644
NOVA CANA� PAULISTA;;12.0;;;;;;;;;;;;;;72.0;;129.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1220;1433
NOVA CASTILHO;;;;692.0;;;;;;;;;;;;;6.0;39.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1516;2253
NOVA EUROPA;344.0;14.0;;1586.0;;265.0;125.0;;;;;;79.0;;204.0;218.0;4751.0;379.0;;;;;56.0;;;17.0;;;;;;;;;;;;;;;;;;;;;;20.0;;;839;8897
NOVA GRANADA;4389.0;;3146.0;;;;;;;;;;287.0;;;406.0;17111.0;93.0;;;;;;;;42.0;;;;;;;;;;;;;;;;;;;;;;;;;;25474
NOVA GUATAPORANGA;395.0;4.0;55.0;;;;;;;;;;;;;138.0;2129.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2721
NOVA INDEPEND�NCIA;6.0;24.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30
NOVA LUZIT�NIA;1726.0;7.0;9.0;;;;;;;;;;;;;218.0;2575.0;;;;;;144.0;;;4.0;;;;;;;;;;;;29.0;;;;;;;;;;;;;;4712
NOVA ODESSA;2034.0;;194.0;;;240.0;;;;;;;507.0;;;2672.0;43213.0;830.0;6.0;;;;777.0;;;91.0;;;300.0;;;;2.0;;;1.0;;183.0;;;;;;;;;;9.0;;;;51059
NOVAIS;1698.0;10.0;18.0;;;;;;;;;;4.0;;;115.0;4899.0;210.0;;;;;148.0;;;2.0;;;;;;;;;;;;14.0;;;;;;;;;;7.0;;;;7125
NOVO HORIZONTE;2863.0;779.0;1862.0;12054.0;15.0;1522.0;413.0;242.0;;;36.0;;492.0;;;1412.0;45432.0;624.0;11.0;;;;1398.0;1.0;;83.0;;14.0;;1.0;2.0;5.0;1.0;;;;;262.0;;34.0;;;;;;;;22.0;;;1849;71429
NUPORANGA;1.0;93.0;;2214.0;;;;;;;;;11.0;;;181.0;7111.0;1108.0;;;;;;;;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;10725
OCAU�U;;122.0;;;;;;;;;;;;;;;;188.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;310
�LEO;;64.0;;578.0;;;35.0;;;;;;5.0;;;;122.0;177.0;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;987
OL�MPIA;161521.0;771.0;3746.0;25647.0;91.0;2784.0;789.0;126.0;26.0;;;;991.0;;;4026.0;41146.0;1030.0;113.0;;;;1477.0;333.0;;101.0;;3.0;;;;;;;;;;257.0;;;;;;;;;;22.0;;;3755;248755
ONDA VERDE;45.0;34.0;1852.0;;;;;;;;;;30.0;;;222.0;6772.0;215.0;;;;;231.0;;;;;;;;;;;;;;;43.0;;;;;;;;;;9.0;;;;9453
ORIENTE;140.0;1020.0;;;;;;;;;;;;;;63.0;806.0;246.0;;;;;2.0;;;1.0;;;;;;;;;;;;2.0;;;;;;;;;;;;;;2280
ORINDI�VA;;131.0;;3325.0;;137.0;108.0;;;;;;;;;;905.0;276.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21.0;;;;4903
ORL�NDIA;161.0;;246.0;16.0;137.0;1434.0;;35.0;;;;;133.0;;;649.0;17065.0;795.0;4.0;;;;407.0;;;55.0;;5.0;3.0;;;;22.0;;;;;175.0;;;;;;;;;;;;;;21342
OSASCO;40064.0;732.0;28872.0;590097.0;2235.0;23998.0;7754.0;1788.0;422.0;;577.0;;6046.0;11.0;;25231.0;461787.0;1937.0;2.0;;;11.0;15915.0;66.0;;1163.0;;140.0;;;;26.0;3.0;;;;;3052.0;;391.0;;;;;;;;246.0;;;;1212566
OSCAR BRESSANE;2164.0;;211.0;;;;;;;;;;2.0;;;569.0;4407.0;;;;;;98.0;;;;;;;;;;;;;;;19.0;3.0;;;;;;;;;;;;;7473
OSVALDO CRUZ;6955.0;141.0;100.0;5287.0;;1209.0;118.0;19.0;;;18.0;;490.0;;;734.0;13485.0;554.0;74.0;;;;276.0;;;179.0;;3.0;40.0;;;;4.0;;;;3.0;85.0;;;;;;;;;;50.0;;;8532;38356
OURINHOS;10426.0;357.0;602.0;64381.0;1411.0;3850.0;549.0;295.0;7.0;;43.0;7.0;669.0;1574.0;;362.0;41299.0;866.0;106.0;349.0;1730.0;1086.0;271.0;;;438.0;;9.0;5.0;;1.0;19.0;2.0;;;3.0;;73.0;1.0;41.0;10.0;;;;;;;;5.0;;;130847
OURO VERDE;2637.0;;;;;;;;;;;;;;;;;820.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;164;3621
OUROESTE;8557.0;44.0;101.0;6081.0;;559.0;;;;;;;169.0;;;525.0;12420.0;200.0;13.0;;;;253.0;;;29.0;;;;;;;;;;;;64.0;;;;;;;;;;27.0;;;;29042
PACAEMBU;9537.0;103.0;534.0;1608.0;;;173.0;;;;;;117.0;;;581.0;12514.0;452.0;;;;;353.0;;;1.0;;1.0;;;;;;;;;;15.0;;;;;;;;;;;;;;25989
PALESTINA;5777.0;32.0;373.0;1.0;;425.0;129.0;;;;;;240.0;;;1183.0;15652.0;850.0;;;;;532.0;2.0;;30.0;;;;;;;;;;;;208.0;;;;;;;;;;41.0;;;4413;29888
PALMARES PAULISTA;5442.0;56.0;379.0;;;;110.0;;;;;;39.0;;;644.0;15635.0;579.0;;;;;87.0;;;;;;;;;;;;;;;24.0;;;;;;;;;;31.0;;;571;23597
PALMEIRA D'OESTE;;90.0;;1749.0;;69.0;53.0;;;;;;659.0;;;147.0;4361.0;216.0;373.0;;;;;;;23.0;;;37.0;;;;;;;;;;;;;;;;;;;;;;;7777
PALMITAL;17431.0;258.0;351.0;9916.0;59.0;741.0;196.0;5.0;;;11.0;;1271.0;;;858.0;21972.0;651.0;;;;;2388.0;329.0;;193.0;;1.0;123.0;1.0;;1.0;;;;;;208.0;1.0;1.0;;;;;;;;50.0;;;3315;60331
PANORAMA;5266.0;41.0;;;;92.0;;;;;;;;;;3.0;1081.0;215.0;;;;;174.0;;;;;;;;;;;;;;;38.0;;;;;;;;;;;;;5990;12900
PARAGUA�U PAULISTA;7160.0;1.0;20.0;10066.0;14.0;1664.0;161.0;2.0;;;25.0;;300.0;;;114.0;11171.0;526.0;95.0;;;;234.0;97.0;;93.0;;6.0;11.0;;;2.0;;;;;;62.0;;3.0;;;;;;;;;;;334;32161
PARAIBUNA;;32.0;203.0;4.0;;825.0;;;;;;;171.0;;;316.0;7439.0;207.0;3.0;;;;;;;32.0;;1.0;;;;;;;;;;;;;;;;;;;;;;;;9233
PARA�SO;;45.0;1.0;;;;;;;;;;;;;167.0;3423.0;;;;;;106.0;;;;;;;;;;;;;;;;;;;;;;;;;12.0;;;;3754
PARANAPANEMA;2233.0;38.0;8.0;2037.0;;166.0;31.0;;;;;;53.0;;;650.0;11675.0;272.0;;;;;150.0;;;;;;;;;;;;;;;16.0;;;;;;;;;;;;;;17329
PARANAPU�;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;600;600
PARDINHO;1199.0;30.0;131.0;1591.0;;;78.0;;;;;;61.0;;;477.0;7340.0;255.0;;;;;466.0;;;41.0;;42.0;;;;;;;;;;51.0;;;;;;;;;;81.0;;;;11843
PARIQUERA-A�U;17.0;233.0;;8723.0;;;;;;;;;5.0;;;36.0;848.0;527.0;;;;;78.0;;;;;;;;;;;;;;;17.0;;;;;;;;;;;;;;10484
PARISI;2803.0;47.0;2057.0;10.0;;;;;;;;;83.0;;;157.0;10647.0;;5.0;;;;;;;5.0;;;;;;;;;;;;;;;;;;;;;;;;;500;16314
PATROC�NIO PAULISTA;4085.0;;61.0;;;51.0;;;;;;;;;;1025.0;16100.0;202.0;;;;;488.0;1.0;;17.0;;;;;;;;;;;;113.0;;;;;;;;;;;;;;22143
PAULIC�IA;;150.0;;;;;;;;;;;;;;;;105.0;;;;;60.0;;;;;;;;;;;;;;;;;;;;;;;;;14.0;;;2646;2975
PAUL�NIA;293.0;;;103020.0;;6149.0;916.0;412.0;;;;;294.0;63.0;253.0;242.0;1674.0;;;;;2.0;;;;;;;85.0;;;;12.0;;;;;;;;;;;;;;;;;;;113415
PAULIST�NIA;;7.0;;;;;36.0;;;;;;22.0;;;;94.0;235.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.0;;;;404
PAULO DE FARIA;4663.0;10.0;150.0;3305.0;;269.0;;;;;;;31.0;;;670.0;11090.0;468.0;;;;;315.0;;;3.0;;1.0;;;;;;;;;;74.0;;;;;;;;;;22.0;;;;21071
PEDERNEIRAS;27393.0;134.0;469.0;2075.0;;2378.0;532.0;126.0;;;5.0;;592.0;;;2431.0;42214.0;1126.0;42.0;;;;3866.0;;;65.0;;7.0;;;;;;;;;;280.0;;;;;;;;;;114.0;;;;83849
PEDRA BELA;13.0;21.0;90.0;;;137.0;;;;;;;27.0;;;164.0;2873.0;231.0;;;;;274.0;;;;;;;;;;;;;;;21.0;;;;;;;;;;;;;;3851
PEDRAN�POLIS;;43.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;43
PEDREGULHO;;83.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;83
PEDREIRA;11921.0;103.0;72.0;38187.0;;4101.0;940.0;2.0;;;95.0;;291.0;;;1043.0;36131.0;1069.0;43.0;;;;721.0;;;109.0;;6.0;;;;1.0;1.0;1.0;;;;86.0;;;;;;;;;;;;;;94923
PEDRINHAS PAULISTA;2768.0;95.0;60.0;2286.0;;127.0;;;;;;;1.0;;;308.0;6899.0;84.0;;;;;264.0;;;1.0;;;;;;;;;;;;27.0;;;;;;;;;;;;;;12920
PEDRO DE TOLEDO;;491.0;;2936.0;;497.0;162.0;;;;;;28.0;;;230.0;4641.0;;;;;;;;;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;8990
PEN�POLIS;13964.0;3110.0;475.0;18265.0;606.0;3404.0;644.0;527.0;;;150.0;;633.0;15.0;;3064.0;77766.0;2908.0;;;;45.0;2956.0;;;449.0;;32.0;29.0;3.0;15.0;;;;;;;513.0;;;;;;;;;;22.0;;;10118;139713
PEREIRA BARRETO;29.0;15.0;7.0;6306.0;;708.0;;;;;;;101.0;;;54.0;8715.0;630.0;54.0;;;;324.0;;;21.0;;;;;;3.0;;;;;;110.0;;;;;;;;;;;;;;17077
PEREIRAS;169.0;14.0;7.0;;;;26.0;;;;;;;;;19.0;3404.0;753.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4392
PERU�BE;461.0;2132.0;263.0;54697.0;398.0;5166.0;817.0;;;;16.0;;3035.0;;;5937.0;51623.0;644.0;130.0;;;;301.0;;;115.0;;35.0;;;;;;1.0;;;;228.0;;;;;;;;;;23.0;;;;126022
PIACATU;3759.0;;;;;;;;;;;;;;;245.0;5019.0;113.0;;;;;147.0;;;;;;;;;;;;;;;41.0;;;;;;;;;;;;;;9324
PIEDADE;666.0;1677.0;515.0;18270.0;;1654.0;71.0;;;;;;274.0;;;1260.0;16467.0;730.0;;;;;;10.0;;66.0;;10.0;;;;;;;;;;;;;;;;;;;;;;;;41670
PILAR DO SUL;3711.0;242.0;98.0;7310.0;;977.0;200.0;;;;;;187.0;;;366.0;23908.0;1717.0;17.0;;;;462.0;;;105.0;;5.0;;;;;1.0;;;;;150.0;;;;;;;;;;;;;;39456
PINDAMONHANGABA;333.0;252.0;3980.0;93006.0;1395.0;7839.0;1534.0;387.0;73.0;;176.0;;2196.0;316.0;;1673.0;87915.0;472.0;107.0;;1987.0;100.0;506.0;;;731.0;;16.0;41.0;;4.0;;;;;;;56.0;;;3.0;;;;;;;42.0;7.0;;;205147
PINDORAMA;;54.0;104.0;;;;;;;;;;;;;382.0;8166.0;;;;;;26.0;;;2.0;;;;;;;;;;;;;;;;;;;;;;22.0;;;;8756
PINHALZINHO;;37.0;5.0;6169.0;;1050.0;;;;;;;68.0;;;246.0;11369.0;1121.0;;;;;;;;14.0;;3.0;;;;;;;;;;;;;;;;;;;;;;;;20082
PIQUEROBI;1235.0;22.0;88.0;;;;50.0;;;;;;;;;40.0;2793.0;;10.0;;;;74.0;;;5.0;;;;;;;;;;;;15.0;;;;;;;;;;;;;520;4852
PIQUETE;;;48.0;2551.0;;459.0;89.0;;;;;;55.0;;;396.0;4110.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3438;11146
PIRACAIA;;151.0;;3596.0;;819.0;;;;;;;142.0;;;271.0;9936.0;;1.0;;;;;;;33.0;;1.0;;;;;;;;;;;;;;;;;;;;;;;;14950
PIRACICABA;1489.0;511.0;24813.0;149128.0;1334.0;13810.0;3054.0;683.0;432.0;164.0;78.0;8.0;2320.0;166.0;510.0;13072.0;202436.0;8112.0;869.0;1398.0;3229.0;74.0;3131.0;97.0;;525.0;;45.0;;;31.0;39.0;4.0;;;;;743.0;1.0;74.0;35.0;1.0;;;;14.0;;258.0;87.0;;;432775
PIRAJU;722.0;50.0;33.0;13651.0;;1633.0;120.0;;;;;;222.0;129.0;;136.0;11849.0;1374.0;69.0;;;;770.0;3.0;;61.0;;293.0;;;;;;;;;;679.0;41.0;;;;;;;;;120.0;;;;31955
PIRAJU�;4532.0;110.0;149.0;1419.0;;448.0;2.0;;;;;;193.0;;;1208.0;12917.0;170.0;9.0;;;;440.0;;;9.0;;6.0;1.0;;;1.0;;;;;;75.0;;;;;;;;;;20.0;;;;21709
PIRANGI;38.0;48.0;;;;241.0;156.0;;;;;;1.0;;;151.0;7339.0;959.0;;;;;102.0;;;;;;;;;;;;;;;51.0;;;;;;;;;;38.0;;;1002;10126
PIRAPORA DO BOM JESUS;1726.0;182.0;239.0;4707.0;;371.0;131.0;;;;;;278.0;;;1000.0;8623.0;347.0;;;;;15.0;;;14.0;;10.0;;;;;;;;;;;;;;;;;;;;;;;;17643
PIRAPOZINHO;460.0;167.0;;5824.0;;;;;;;;;38.0;;;235.0;14346.0;974.0;;;;;143.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;23.0;;;1501;23712
PIRASSUNUNGA;14372.0;;239.0;6346.0;21.0;2586.0;425.0;498.0;50.0;;57.0;;1156.0;;;2880.0;54936.0;1338.0;15.0;;551.0;;1048.0;1431.0;;169.0;;7.0;;;;;;;;;;94.0;;;;;;;;;;;;;5016;93235
PIRATININGA;1770.0;62.0;;2909.0;;330.0;;;;;;;;;;325.0;9759.0;384.0;;;;;;;;16.0;;1.0;;;;;;;;;;;;;;;;;;;;;;;;15556
PITANGUEIRAS;16818.0;285.0;350.0;15378.0;65.0;1658.0;236.0;75.0;1.0;;63.0;;234.0;;;1618.0;28194.0;1033.0;;;;;1246.0;;;92.0;;6.0;;;;1.0;;;;;;204.0;1.0;;;;;;;;;;;;;67558
PLANALTO;20.0;22.0;;;;;;;;;;;;;;;132.0;44.0;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;6000;6219
PLATINA;1953.0;1277.0;14.0;903.0;;15.0;;;;;;;;;;307.0;4203.0;187.0;;;;;322.0;;;25.0;;;;;;;;;;;;37.0;;;;;;;;;;;;;40;9283
PO�;284.0;211.0;2239.0;34966.0;1570.0;1482.0;351.0;;;;;;379.0;;;2372.0;77669.0;;;;;;352.0;115.0;;157.0;;;;;;;;;;;;235.0;;;;;;;;;;;;;;122382
POLONI;6001.0;2.0;58.0;1965.0;;;;;;;;;10.0;;;83.0;5755.0;;;;;;98.0;;;;;;;;;;;;;;;1.0;;;;;;;;;;23.0;;;3523;17519
POMP�IA;136.0;213.0;;561.0;;431.0;;;;;;;54.0;;;;9480.0;868.0;29.0;;;;369.0;83.0;;27.0;;;;;;;;;;;;62.0;;;;;;;;;;107.0;;;1139;13559
PONGA�;435.0;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;443
PONTAL;680.0;48.0;27.0;11882.0;;1058.0;199.0;;4.0;;58.0;;281.0;;;188.0;11735.0;1007.0;56.0;;;;173.0;;;59.0;;2.0;;;;;;;;;;15.0;;;;;;;;;;24.0;;;1879;29375
PONTALINDA;;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
PONTES GESTAL;69.0;;7.0;766.0;;;;;;;;;8.0;;10.0;242.0;1233.0;;;;;;26.0;;;2.0;;;;;;;;;;;;13.0;;;;;;;;;;;;;;2376
POPULINA;958.0;82.0;590.0;484.0;;;29.0;;;;;;;;3.0;147.0;3167.0;;;;;;;;;12.0;;;;;;;;;;;;;;;;;;;;;;;;;;5472
PORANGABA;389.0;24.0;;;;;;;;;;;;;;206.0;3159.0;;;;;;;;;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;3784
PORTO FELIZ;6106.0;141.0;6830.0;23584.0;40.0;1962.0;895.0;299.0;;;88.0;;692.0;;;1825.0;66130.0;1095.0;55.0;;;;1259.0;32.0;;405.0;;8.0;;;15.0;3.0;36.0;;;;;218.0;;107.0;;;;;;;;;;;;111825
PORTO FERREIRA;47077.0;394.0;725.0;4705.0;2.0;1889.0;245.0;2.0;44.0;;9.0;;586.0;;;4313.0;70838.0;3110.0;39.0;;;;4465.0;;;291.0;;16.0;;24.0;;5.0;1.0;;;;;473.0;;;;;;;;;;30.0;;;5527;144810
POTIM;89.0;20.0;;;;;165.0;;;;;;88.0;;;131.0;5895.0;1500.0;;;;;465.0;;;3.0;;;;;;;;;;;;125.0;;;;;;;;;;4.0;;;1082;9567
POTIRENDABA;;55.0;;1790.0;;575.0;107.0;;;;;;204.0;;;;9556.0;819.0;;;;;82.0;;;53.0;;1.0;;;5.0;;;;;;;;;;;;;;;;;18.0;;;;13265
PRACINHA;;6.0;;;;;;;;;;;;;;80.0;714.0;;;;;;;;;42.0;;;;;;;;;;;;;;;;;;;;;;;;;421;1263
PRAD�POLIS;;36.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;607;643
PRAIA GRANDE;2392.0;20.0;8403.0;173808.0;2491.0;15224.0;6924.0;1845.0;196.0;137.0;667.0;;5549.0;131.0;;6141.0;156218.0;2468.0;1144.0;;2285.0;73.0;376.0;256.0;;210.0;;22.0;112.0;;4.0;22.0;;;;4.0;1.0;109.0;;;18.0;;;;;;;;19.0;;5240;392509
PRAT�NIA;292.0;8.0;;;;;;;;;;;34.0;;;;1795.0;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;2130
PRESIDENTE ALVES;1666.0;43.0;186.0;;;;;;;;;;;;;515.0;4999.0;;;;;;117.0;;;;;;;;;;;;;;;37.0;;;;;;;;;;;;;;7563
PRESIDENTE BERNARDES;4265.0;;166.0;134.0;;251.0;;;;;;;64.0;;;502.0;7706.0;;8.0;;;;273.0;;;63.0;;7.0;;10.0;;;;;;;;32.0;;;;;;;;;;35.0;;;;13516
PRESIDENTE EPIT�CIO;6954.0;;1611.0;393.0;;767.0;15.0;;;;;;218.0;;;859.0;24967.0;;56.0;;;;1960.0;;;175.0;;3.0;;;;;13.0;;;;;143.0;;;;;;;;;;25.0;;;;38159
PRESIDENTE PRUDENTE;2425.0;1500.0;2805.0;93423.0;;3084.0;169.0;;;;;;1026.0;;;3359.0;92920.0;2185.0;;;;;1224.0;;;454.0;;18.0;;;;;1.0;;;;;113.0;99.0;;;;;;;;;57.0;;;10396;215258
PRESIDENTE VENCESLAU;13299.0;161.0;94.0;9258.0;;572.0;97.0;;;;;;295.0;;;1652.0;26003.0;3522.0;2.0;;;;2065.0;24.0;;29.0;;24.0;;;;53.0;3.0;;;;;120.0;;;;;;;;;;30.0;;;5519;62822
PROMISS�O;;824.0;;4493.0;;265.0;;;;;;;;;;;20.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25.0;;;;5627
QUADRA;;20.0;;2289.0;;;;;;;;;;;;9.0;110.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2428
QUAT�;3124.0;;9.0;3674.0;;;180.0;;;;;;;;;166.0;511.0;712.0;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;19.0;;;;8396
QUEIROZ;3458.0;3.0;94.0;;;;;;;;;;;;;105.0;3347.0;162.0;;;;;251.0;;;;;;;;;;;;;;;43.0;;;;;;;;;;;;;;7463
QUELUZ;37.0;117.0;197.0;3995.0;;416.0;122.0;;;;;;100.0;;;208.0;5768.0;271.0;33.0;;;;149.0;;;4.0;;;;;;;;;;;;77.0;;;;;;;;;;;;;;11494
QUINTANA;1066.0;47.0;34.0;;;121.0;;;;;;;;;;848.0;15561.0;625.0;;;;;679.0;;;10.0;;2.0;;;;;;;;;;291.0;;;;;;;;;;21.0;;;424;19729
RAFARD;8.0;;28.0;3835.0;;;;;;;;;;;;57.0;2949.0;77.0;;;;;66.0;;;;;;;;;;;;;;;21.0;;;;;;;;;;;;;151;7192
RANCHARIA;5024.0;92.0;;9789.0;;;;;;;;;363.0;;;45.0;6744.0;;;;;;174.0;;;200.0;;;;;;;;;;;;;;;;;;;;;;;;;;22431
REDEN��O DA SERRA;1.0;5.0;28.0;2477.0;;;;;;;;;33.0;;;137.0;3163.0;158.0;;;;;16.0;;;4.0;;2.0;;;;;;;;;;13.0;;;;;;;;;;;;;;6037
REGENTE FEIJ�;5.0;108.0;;2841.0;;;;;;;;;75.0;;;126.0;6274.0;1190.0;;;;;;;;25.0;;7.0;;;;;;;;;;;;;;;;;;;;;;;;10651
REGIN�POLIS;1544.0;15.0;;;;8.0;39.0;;;;;;;;;;2138.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;51.0;;;;3795
REGISTRO;424.0;170.0;2.0;412.0;;1037.0;;;;;;;446.0;;;1168.0;22648.0;1362.0;;;;;560.0;95.0;;10.0;;1.0;;;;;1.0;;;;;118.0;;;;;;;;;;23.0;;;;28477
RESTINGA;429.0;23.0;;483.0;;;9.0;;;;;;1.0;;;107.0;4520.0;189.0;;;;;;;;41.0;;2.0;;;;;;;;;;;;;;;;;;;;23.0;;;9;5836
RIBEIRA;;20.0;;;;;5.0;;;;;;;;;187.0;1283.0;35.0;;;;;;;;;;7.0;;;;;;;;;;;;;;;;;;;;;;;;1537
RIBEIR�O BONITO;2484.0;5.0;51.0;3477.0;;240.0;70.0;;;;;;67.0;;;383.0;6822.0;299.0;;;;;97.0;;;23.0;;;;;;;;;;;;33.0;;;;;;;;;;;;;480;14531
RIBEIR�O BRANCO;;114.0;;6171.0;;;;;;;;;4.0;;;135.0;2885.0;;;;;;;;;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;9312
RIBEIR�O CORRENTE;247.0;26.0;327.0;;;;;;;;;;;;;179.0;5276.0;136.0;;;;;144.0;;;;;;;;;;;;;;;8.0;;;;;;;;;;;;;;6343
RIBEIR�O DO SUL;2015.0;;399.0;;;11.0;;;;;;;;;;298.0;7650.0;670.0;;;;;515.0;;;10.0;;;;;;;;;;;;32.0;;;;;;;;;;;;;;11600
RIBEIR�O DOS �NDIOS;1958.0;5.0;;;;;;;;;;;74.0;;;;;;;;;;14.0;;;;;;;;;;;;;;;;;;;;;;;;;22.0;;;;2073
RIBEIR�O GRANDE;;102.0;;;;;53.0;;;;;;40.0;;;;46.0;;;;;;38.0;;;;;32.0;;;;;;;;;;6.0;;;;;;;;;;;;;;317
RIBEIR�O PIRES;739.0;78.0;7547.0;43097.0;246.0;3674.0;1398.0;517.0;;;;;2157.0;;;3862.0;75881.0;3400.0;64.0;;;;262.0;36.0;;167.0;;8.0;;16.0;;;10.0;;;;;92.0;;;;;;;;;;178.0;;;;143429
RIBEIR�O PRETO;83246.0;1145.0;56047.0;249575.0;1165.0;12740.0;3893.0;875.0;398.0;134.0;502.0;;11968.0;4.0;19.0;15219.0;420512.0;3423.0;911.0;861.0;7409.0;;17563.0;773.0;1.0;636.0;;85.0;236.0;3.0;242.0;172.0;20.0;4.0;;;;1472.0;5.0;119.0;56.0;97.0;;;;79.0;;169.0;105.0;;;891883
RIFAINA;289.0;11.0;9.0;;;87.0;;;;;;;;;;186.0;3154.0;176.0;;;;;501.0;;;;;;;;;;;;;;;68.0;;;;;;;;;;22.0;;;;4503
RINC�O;1.0;;68.0;3.0;;;13.0;;;;;;67.0;;;198.0;5216.0;503.0;;;;;;;;12.0;;;;;;;;;;;;;;;;;;;;;;69.0;;;;6150
RIN�POLIS;4067.0;40.0;45.0;641.0;;289.0;;;;;;;;;;959.0;9141.0;449.0;1.0;;;;161.0;;;21.0;;1.0;;;;;;;;;;28.0;;;;;;;;;;21.0;;;2286;18150
RIO CLARO;2894.0;2019.0;13504.0;69332.0;4117.0;5805.0;1954.0;1378.0;474.0;69.0;249.0;;3434.0;530.0;;7564.0;219921.0;3074.0;164.0;469.0;1274.0;497.0;2030.0;12.0;;712.0;;20.0;1.0;;74.0;17.0;1.0;;;;;280.0;;30.0;24.0;;;;;;;130.0;63.0;;;342116
RIO DAS PEDRAS;8351.0;88.0;432.0;11949.0;;897.0;;;;;;;453.0;;;929.0;32676.0;;;;;;492.0;;;133.0;;13.0;;;;;;;;;;29.0;;;;;;;;;;34.0;;;544;57020
