instituicao;municipio;uf;populacao;coluna;conta;identificador da conta;receita_anual
Prefeitura Municipal de Bom Sucesso de Itararï¿½ - SP;BOM SUCESSO DE ITARARE;SP;4013;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;30698098.66
Prefeitura Municipal de Santa Bï¿½rbara d'Oeste - SP;SANTA BARBARA D'OESTE;SP;195278;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;841403957.56
Prefeitura Municipal de Tambaï¿½ - SP;TAMBAU;SP;23255;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;135231825.87
Prefeitura Municipal de Birigui - SP;BIRIGUI;SP;126094;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;595359314.4
Prefeitura Municipal de Diadema - SP;DIADEMA;SP;429550;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;1792355229.07
Prefeitura Municipal de Lavrinhas - SP;LAVRINHAS;SP;7361;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;44122973.4
Prefeitura Municipal de Potim - SP;POTIM;SP;25603;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;92852706.59
Prefeitura Municipal de Narandiba - SP;NARANDIBA;SP;4950;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;61003715.68
Prefeitura Municipal de Mombuca - SP;MOMBUCA;SP;3523;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;33499795.54
Prefeitura Municipal de Santa Gertrudes - SP;SANTA GERTRUDES;SP;27850;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;213108049.94
Prefeitura Municipal de Lagoinha - SP;LAGOINHA;SP;4882;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;39059483.4
Prefeitura Municipal de Araï¿½ariguama - SP;ARACARIGUAMA;SP;23343;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;205066287.8
Prefeitura Municipal de Mineiros do Tietï¿½ - SP;MINEIROS DO TIETE;SP;13023;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;55741552.42
Prefeitura Municipal de Santo Antï¿½nio da Alegria - SP;SANTO ANTONIO DA ALEGRIA;SP;7024;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;46765320.08
Prefeitura Municipal de Nova Odessa - SP;NOVA ODESSA;SP;61716;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;327265501.36
Prefeitura Municipal de Catanduva - SP;CATANDUVA;SP;123114;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;736040803.25
Prefeitura Municipal de Cesï¿½rio Lange - SP;CESARIO LANGE;SP;18595;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;103030496.67
Prefeitura Municipal de Bauru - SP;BAURU;SP;381706;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;1921513738.0
Prefeitura Municipal de Alumï¿½nio - SP;ALUMINIO;SP;18903;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;140303772.35
Prefeitura Municipal de Casa Branca - SP;CASA BRANCA;SP;30655;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;174654224.69
Prefeitura Municipal de Clementina - SP;CLEMENTINA;SP;8894;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;42965744.86
Prefeitura Municipal de Rincï¿½o - SP;RINCAO;SP;10824;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;58478886.75
Prefeitura Municipal de Pirajuï¿½ - SP;PIRAJUI;SP;25939;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;114381456.65
